area_sqft,bedrooms,bathrooms,age_years,parking,distance_to_center_km,location,furnishing,price_lakhs
793.0,1,1.0,15,1,17.2,Outskirts,Semi-Furnished,29.34
1484.0,3,3.0,18,0,12.5,IT Corridor,Unfurnished,73.63
2151.0,4,5.0,26,3,12.6,Suburb,Semi-Furnished,101.4
1299.0,3,2.0,16,3,0.5,City Center,Semi-Furnished,89.38
1185.0,2,3.0,11,0,18.0,IT Corridor,Unfurnished,62.24
1459.0,4,5.0,7,0,14.3,Outskirts,Fully-Furnished,67.03
1172.0,2,3.0,23,3,0.5,City Center,Fully-Furnished,80.92
2195.0,4,5.0,30,1,8.3,Coastal,,109.69
934.0,3,2.0,0,0,14.6,Coastal,Semi-Furnished,63.81
1848.0,3,2.0,8,1,13.4,IT Corridor,,109.54
757.0,2,3.0,14,2,11.2,Outskirts,Unfurnished,32.68
1744.0,3,3.0,6,1,13.5,Outskirts,Fully-Furnished,77.79
1346.0,3,4.0,10,1,11.9,Coastal,Semi-Furnished,99.28
450.0,1,1.0,22,1,7.7,IT Corridor,Semi-Furnished,28.06
1397.0,2,1.0,7,2,14.4,Outskirts,Semi-Furnished,55.48
852.0,2,2.0,21,1,2.0,City Center,Fully-Furnished,65.88
1172.0,4,4.0,9,3,18.4,IT Corridor,Unfurnished,76.76
2191.0,3,2.0,17,3,11.0,IT Corridor,Unfurnished,106.58
826.0,2,1.0,12,3,12.8,Suburb,Fully-Furnished,54.64
855.0,2,2.0,30,0,6.9,Suburb,Unfurnished,32.34
2140.0,4,4.0,15,0,12.5,Outskirts,Unfurnished,77.12
1460.0,2,2.0,27,3,27.9,Rural,Semi-Furnished,33.32
2192.0,6,6.0,16,1,4.8,City Center,,167.34
1566.0,3,2.0,11,2,3.8,Suburb,Unfurnished,91.44
946.0,3,4.0,22,1,10.8,Suburb,Fully-Furnished,52.93
1366.0,3,2.0,13,2,10.8,Suburb,Semi-Furnished,62.51
2032.0,4,5.0,25,2,1.1,City Center,Semi-Furnished,134.23
1884.0,4,5.0,27,0,25.6,Rural,Unfurnished,39.03
1400.0,3,2.0,29,0,9.7,Suburb,Semi-Furnished,54.04
1425.0,4,4.0,22,2,23.5,Rural,Unfurnished,37.93
1342.0,3,2.0,20,3,13.2,Outskirts,Unfurnished,52.2
1103.0,2,3.0,15,3,5.9,Coastal,Unfurnished,73.2
2393.0,5,6.0,7,3,11.1,IT Corridor,Semi-Furnished,155.51
1404.0,4,3.0,21,0,4.9,Suburb,Unfurnished,58.05
819.0,2,1.0,17,3,8.8,Suburb,Semi-Furnished,46.18
1155.0,2,2.0,21,1,0.5,City Center,Semi-Furnished,86.15
1773.0,3,2.0,13,0,9.1,Suburb,Fully-Furnished,81.29
1730.0,4,5.0,7,3,11.7,IT Corridor,Unfurnished,116.92
1330.0,2,1.0,7,0,8.8,IT Corridor,Unfurnished,71.59
1056.0,2,3.0,23,2,11.4,Suburb,Unfurnished,46.27
1412.0,2,3.0,10,3,14.7,Suburb,Fully-Furnished,75.94
540.0,1,1.0,25,3,6.8,City Center,Unfurnished,43.08
731.0,2,2.0,7,2,3.8,Coastal,Fully-Furnished,59.29
1811.0,4,,13,1,18.7,Outskirts,Semi-Furnished,73.1
1154.0,2,3.0,16,0,8.6,Coastal,Unfurnished,62.15
1593.0,4,4.0,22,1,24.7,Rural,Unfurnished,38.07
2026.0,4,5.0,2,0,1.1,City Center,Unfurnished,181.51
1734.0,5,4.0,15,1,2.9,City Center,Semi-Furnished,136.92
1411.0,3,4.0,16,0,19.0,Outskirts,Semi-Furnished,47.48
2494.0,5,4.0,7,2,10.5,Suburb,Unfurnished,114.73
1743.0,3,4.0,12,2,1.7,City Center,Fully-Furnished,148.19
1218.0,1,1.0,26,1,22.9,Rural,Unfurnished,21.42
1776.0,3,4.0,0,2,10.7,IT Corridor,Semi-Furnished,126.13
1610.0,3,3.0,30,3,4.6,City Center,Unfurnished,92.85
960.0,3,2.0,8,1,14.5,Suburb,Fully-Furnished,55.3
1438.0,2,2.0,13,2,8.7,IT Corridor,Unfurnished,96.83
1315.0,4,4.0,30,3,14.9,Outskirts,Fully-Furnished,59.97
450.0,1,1.0,11,0,13.8,Outskirts,Semi-Furnished,20.62
1311.0,3,3.0,17,2,6.7,Suburb,Unfurnished,57.66
1254.0,1,1.0,7,0,16.1,Outskirts,Unfurnished,43.35
1175.0,2,2.0,2,2,10.5,Suburb,Unfurnished,64.75
554.0,1,1.0,3,1,3.7,Coastal,Unfurnished,41.7
1218.0,3,4.0,17,1,8.8,IT Corridor,Fully-Furnished,82.64
1380.0,3,4.0,2,0,12.5,Suburb,Fully-Furnished,69.12
1452.0,2,3.0,21,1,15.8,Outskirts,Unfurnished,47.8
816.0,2,2.0,11,2,9.4,Coastal,Semi-Furnished,61.08
1725.0,4,3.0,4,1,7.4,Suburb,Unfurnished,86.38
775.0,2,3.0,30,0,6.8,Coastal,Unfurnished,45.35
1285.0,3,,12,3,10.3,Suburb,Semi-Furnished,63.45
2071.0,5,6.0,24,0,7.4,Suburb,Semi-Furnished,88.84
1044.0,2,3.0,6,1,0.5,City Center,Fully-Furnished,93.44
1137.0,1,2.0,29,0,11.9,IT Corridor,Fully-Furnished,45.29
1952.0,3,4.0,16,0,14.6,IT Corridor,Unfurnished,89.55
1203.0,3,3.0,26,3,5.8,Suburb,Semi-Furnished,54.98
1247.0,3,2.0,25,1,6.0,City Center,Fully-Furnished,87.97
1514.0,3,3.0,27,3,11.0,Suburb,Semi-Furnished,71.4
1939.0,4,3.0,7,3,5.3,Coastal,Semi-Furnished,147.36
450.0,1,1.0,9,2,24.9,Rural,Semi-Furnished,19.68
974.0,2,1.0,4,2,8.8,Suburb,,48.3
883.0,2,2.0,29,3,10.8,Suburb,Semi-Furnished,43.73
843.0,1,1.0,4,0,9.9,Coastal,Semi-Furnished,56.77
961.0,3,4.0,8,2,11.0,Outskirts,Fully-Furnished,55.87
969.0,2,1.0,19,1,0.5,City Center,Unfurnished,73.42
1555.0,3,4.0,17,2,15.0,IT Corridor,Semi-Furnished,102.68
944.0,1,1.0,2,1,12.2,IT Corridor,Semi-Furnished,64.66
1463.0,2,1.0,16,3,13.1,IT Corridor,Fully-Furnished,90.81
1606.0,4,3.0,16,0,8.9,Coastal,Unfurnished,89.35
1026.0,3,4.0,11,3,13.4,Suburb,Semi-Furnished,61.43
1467.0,3,2.0,25,3,5.3,Suburb,Semi-Furnished,61.83
2239.0,5,6.0,4,3,18.1,Outskirts,Unfurnished,101.16
1565.0,3,3.0,23,3,22.5,Rural,Fully-Furnished,42.6
1074.0,1,1.0,16,0,17.1,Outskirts,Semi-Furnished,34.95
1367.0,4,3.0,20,0,11.9,Coastal,Unfurnished,73.18
,2,2.0,22,0,0.5,City Center,Unfurnished,58.41
1539.0,5,4.0,0,2,16.1,Outskirts,Unfurnished,72.84
1841.0,3,2.0,17,0,11.1,IT Corridor,Semi-Furnished,91.49
981.0,2,2.0,13,1,8.0,Suburb,Unfurnished,48.32
1293.0,3,3.0,20,0,12.0,IT Corridor,Unfurnished,60.53
1969.0,4,5.0,7,0,8.8,IT Corridor,Fully-Furnished,137.57
1146.0,1,2.0,13,2,6.0,Suburb,Fully-Furnished,59.09
1496.0,2,3.0,15,1,9.8,Coastal,Semi-Furnished,100.38
877.0,2,2.0,5,2,11.4,Suburb,Semi-Furnished,60.61
982.0,2,2.0,4,0,10.2,IT Corridor,Fully-Furnished,55.66
1138.0,2,1.0,26,3,7.6,IT Corridor,Fully-Furnished,60.0
,6,5.0,4,2,21.8,Outskirts,Unfurnished,97.33
1195.0,3,3.0,4,2,28.2,Rural,Fully-Furnished,46.68
1135.0,2,1.0,29,1,10.0,Suburb,Unfurnished,40.29
1118.0,2,3.0,26,3,0.5,City Center,Unfurnished,77.92
1317.0,2,3.0,27,2,1.2,City Center,Semi-Furnished,81.43
1728.0,4,5.0,1,1,12.6,IT Corridor,Unfurnished,117.55
1495.0,4,4.0,3,3,12.1,Outskirts,Fully-Furnished,69.25
,5,4.0,3,3,12.6,Coastal,Fully-Furnished,189.16
1507.0,3,3.0,25,2,3.3,City Center,Unfurnished,77.88
2124.0,4,5.0,12,1,4.1,City Center,Semi-Furnished,140.06
1538.0,2,3.0,2,1,5.8,Suburb,Fully-Furnished,100.15
1703.0,3,3.0,26,1,5.2,Coastal,Semi-Furnished,94.69
678.0,2,2.0,10,0,22.6,Rural,Semi-Furnished,20.08
,3,4.0,3,0,25.7,Rural,Semi-Furnished,46.48
1366.0,4,5.0,30,2,24.1,Rural,Semi-Furnished,41.91
1279.0,3,2.0,29,2,14.0,Outskirts,Semi-Furnished,47.85
450.0,1,,29,2,15.8,Outskirts,Semi-Furnished,20.28
1840.0,4,4.0,23,3,15.6,Outskirts,Fully-Furnished,73.73
1206.0,3,,14,3,16.3,IT Corridor,Unfurnished,73.49
1181.0,2,3.0,21,0,24.3,Rural,Unfurnished,22.74
1272.0,2,1.0,21,0,8.9,,Unfurnished,62.95
1286.0,3,4.0,12,1,14.9,Outskirts,Unfurnished,49.49
1604.0,3,3.0,11,0,16.2,IT Corridor,Unfurnished,94.77
764.0,2,1.0,8,2,23.3,Rural,Fully-Furnished,33.15
934.0,2,2.0,26,3,9.0,Suburb,Unfurnished,41.56
1545.0,3,3.0,21,2,6.8,Coastal,Semi-Furnished,90.2
1473.0,4,3.0,9,2,10.1,Suburb,Unfurnished,77.75
1212.0,2,1.0,1,3,3.7,City Center,Fully-Furnished,117.28
1113.0,2,1.0,6,0,9.5,IT Corridor,Unfurnished,63.03
,2,3.0,20,1,11.2,IT Corridor,Unfurnished,52.14
1371.0,2,2.0,4,2,17.7,Outskirts,Unfurnished,57.45
1990.0,4,5.0,18,3,15.1,IT Corridor,Unfurnished,111.31
871.0,2,1.0,19,0,27.6,Rural,Unfurnished,19.9
2162.0,5,6.0,27,0,5.4,City Center,Unfurnished,130.67
1822.0,4,3.0,17,2,6.9,Coastal,Unfurnished,105.57
1174.0,3,4.0,12,2,1.8,City Center,Unfurnished,83.13
1792.0,3,3.0,27,2,27.6,Rural,Fully-Furnished,47.25
667.0,1,1.0,19,0,5.4,Suburb,Unfurnished,27.09
534.0,1,2.0,4,2,8.7,,Unfurnished,32.34
755.0,1,1.0,19,2,9.4,Outskirts,Semi-Furnished,31.1
,3,3.0,24,0,10.8,IT Corridor,Semi-Furnished,54.27
1237.0,2,1.0,15,0,0.8,City Center,Semi-Furnished,85.95
1142.0,3,4.0,29,3,5.3,Suburb,Unfurnished,44.08
1450.0,3,4.0,25,3,4.6,City Center,Unfurnished,93.49
450.0,1,1.0,23,3,0.7,City Center,Semi-Furnished,36.9
1648.0,3,2.0,26,0,13.8,Outskirts,Unfurnished,53.2
690.0,2,2.0,3,3,2.1,City Center,Fully-Furnished,74.12
1070.0,3,3.0,16,2,0.7,City Center,Unfurnished,81.11
1194.0,3,2.0,4,3,19.1,Outskirts,Unfurnished,53.51
822.0,1,1.0,29,2,10.4,IT Corridor,Unfurnished,41.13
715.0,2,1.0,2,1,12.5,IT Corridor,Unfurnished,44.47
897.0,3,4.0,16,1,8.1,IT Corridor,Unfurnished,53.91
1394.0,3,4.0,10,3,23.5,Rural,Semi-Furnished,45.2
1695.0,3,2.0,4,3,10.9,IT Corridor,Unfurnished,129.54
1682.0,3,3.0,23,2,11.0,IT Corridor,Fully-Furnished,90.51
903.0,1,2.0,24,2,1.2,,Unfurnished,52.32
1004.0,3,2.0,4,2,3.3,City Center,Fully-Furnished,98.77
940.0,2,,0,3,13.5,Suburb,,66.39
1625.0,3,4.0,13,2,11.5,IT Corridor,Semi-Furnished,90.49
450.0,2,1.0,2,0,2.5,City Center,Fully-Furnished,57.78
2019.0,6,6.0,1,0,1.8,City Center,Semi-Furnished,177.08
1158.0,2,2.0,13,3,22.4,Outskirts,Fully-Furnished,55.1
1008.0,3,2.0,21,3,29.7,Rural,Semi-Furnished,31.73
1570.0,4,3.0,7,0,13.5,IT Corridor,Unfurnished,90.2
1916.0,4,4.0,3,2,17.0,Outskirts,Semi-Furnished,75.24
,3,3.0,27,1,9.8,IT Corridor,Semi-Furnished,70.37
1926.0,4,4.0,24,0,7.5,Coastal,Unfurnished,88.24
1467.0,4,5.0,13,2,9.5,Suburb,Unfurnished,82.21
,4,3.0,18,1,15.3,Outskirts,Fully-Furnished,67.17
2023.0,4,5.0,10,3,6.4,Suburb,Semi-Furnished,111.51
1350.0,3,3.0,5,0,9.6,IT Corridor,Fully-Furnished,90.77
2120.0,5,6.0,6,2,16.4,,Unfurnished,83.5
1482.0,3,2.0,21,1,9.8,Suburb,Fully-Furnished,68.1
1443.0,3,3.0,29,3,8.7,Outskirts,Unfurnished,49.37
939.0,3,4.0,10,3,12.2,IT Corridor,Unfurnished,62.31
1256.0,3,2.0,7,2,6.6,City Center,Unfurnished,101.1
1789.0,4,3.0,16,1,7.0,Suburb,Unfurnished,82.0
744.0,1,2.0,3,3,9.6,Suburb,,42.18
1725.0,3,4.0,17,1,4.6,Suburb,Fully-Furnished,77.36
1574.0,3,3.0,20,1,17.4,Outskirts,Fully-Furnished,54.15
1539.0,3,2.0,8,3,11.6,Outskirts,Unfurnished,64.42
450.0,1,2.0,8,0,5.2,Suburb,Semi-Furnished,29.52
1348.0,1,1.0,12,0,8.0,Suburb,Fully-Furnished,71.04
1724.0,3,3.0,22,0,31.9,Rural,Unfurnished,34.67
1019.0,2,1.0,24,0,1.1,City Center,Semi-Furnished,69.74
1445.0,3,2.0,21,0,8.2,IT Corridor,Unfurnished,71.55
450.0,1,2.0,26,2,16.3,Outskirts,Semi-Furnished,24.49
1736.0,4,3.0,13,0,25.6,Rural,Unfurnished,41.15
1069.0,2,3.0,26,0,7.8,City Center,Fully-Furnished,70.96
1836.0,3,4.0,7,0,11.2,Outskirts,Unfurnished,67.8
479.0,1,1.0,17,2,10.2,Outskirts,Unfurnished,21.38
1746.0,3,4.0,11,0,14.0,Outskirts,Fully-Furnished,78.37
1282.0,3,3.0,27,3,26.0,Rural,Unfurnished,31.21
1804.0,4,4.0,14,2,9.0,Coastal,Semi-Furnished,118.71
937.0,2,2.0,4,2,18.1,Outskirts,Semi-Furnished,41.97
1091.0,1,1.0,23,0,4.5,Suburb,Unfurnished,44.26
2521.0,5,5.0,30,0,0.5,City Center,Fully-Furnished,169.65
985.0,1,2.0,22,3,11.5,IT Corridor,Unfurnished,52.27
1047.0,2,2.0,1,0,17.4,Outskirts,Unfurnished,33.37
1262.0,1,1.0,12,1,10.3,Suburb,Unfurnished,58.66
,2,3.0,27,2,1.7,City Center,Fully-Furnished,68.43
1995.0,4,3.0,0,2,5.9,Suburb,Unfurnished,98.51
2263.0,4,3.0,24,3,14.5,IT Corridor,Fully-Furnished,112.78
1048.0,2,1.0,9,0,27.7,Rural,Semi-Furnished,26.66
537.0,1,2.0,12,2,19.9,IT Corridor,Fully-Furnished,33.97
1986.0,3,3.0,21,2,2.4,City Center,Unfurnished,137.29
1954.0,4,3.0,24,2,7.7,City Center,Fully-Furnished,131.38
1811.0,4,3.0,19,3,8.4,IT Corridor,Fully-Furnished,107.68
1978.0,5,5.0,29,2,7.3,Suburb,Semi-Furnished,77.31
966.0,2,1.0,6,3,22.9,,Unfurnished,29.59
1316.0,3,,5,1,7.5,Suburb,Fully-Furnished,72.56
708.0,1,1.0,11,1,0.5,City Center,Fully-Furnished,62.58
691.0,2,2.0,20,2,13.3,Outskirts,Unfurnished,26.89
1891.0,4,4.0,15,1,14.8,Outskirts,Fully-Furnished,81.47
1064.0,2,2.0,0,0,7.6,Suburb,Unfurnished,57.95
2540.0,6,6.0,14,1,13.9,IT Corridor,Unfurnished,118.97
1437.0,2,2.0,20,1,2.7,City Center,Unfurnished,106.44
1080.0,2,3.0,18,3,14.9,Outskirts,Semi-Furnished,47.11
1799.0,3,2.0,1,3,19.2,Outskirts,Semi-Furnished,74.42
2301.0,5,,26,2,3.8,City Center,Unfurnished,145.06
1643.0,3,2.0,20,0,12.4,IT Corridor,Semi-Furnished,71.7
791.0,2,3.0,12,2,11.9,IT Corridor,Fully-Furnished,57.58
1586.0,3,4.0,0,2,8.1,Coastal,Unfurnished,100.68
2088.0,5,6.0,21,0,9.6,Coastal,Semi-Furnished,112.49
1153.0,2,1.0,12,2,0.6,City Center,Unfurnished,97.31
,2,1.0,24,1,6.3,City Center,Semi-Furnished,71.74
1908.0,5,5.0,26,0,13.5,Suburb,Unfurnished,72.26
1470.0,4,3.0,21,1,15.3,IT Corridor,Unfurnished,69.24
849.0,2,1.0,9,3,13.5,Outskirts,Unfurnished,40.96
1210.0,1,1.0,3,1,0.5,City Center,,101.22
1022.0,2,2.0,30,0,1.6,City Center,Semi-Furnished,61.37
1548.0,3,3.0,2,3,12.4,IT Corridor,Semi-Furnished,110.59
1455.0,3,4.0,14,3,11.3,Suburb,Unfurnished,67.94
1975.0,5,6.0,9,1,8.4,Suburb,Fully-Furnished,113.57
1755.0,3,3.0,5,1,8.0,Suburb,Unfurnished,76.67
618.0,2,3.0,14,1,29.4,Rural,Unfurnished,21.97
1603.0,3,2.0,29,2,0.9,City Center,Semi-Furnished,87.76
1848.0,4,4.0,10,0,12.0,Suburb,Unfurnished,82.67
1628.0,3,3.0,4,3,11.6,Suburb,Unfurnished,83.8
1915.0,4,4.0,11,0,5.0,Suburb,Semi-Furnished,99.88
1125.0,2,1.0,18,3,12.7,IT Corridor,Semi-Furnished,69.08
925.0,1,1.0,7,3,7.3,Suburb,Fully-Furnished,58.4
1865.0,3,2.0,29,1,0.5,City Center,Unfurnished,111.02
867.0,1,1.0,7,2,2.5,Coastal,Semi-Furnished,67.94
450.0,1,1.0,29,0,4.3,Suburb,Unfurnished,16.95
1913.0,5,5.0,12,2,16.1,Outskirts,Fully-Furnished,70.44
1038.0,3,,17,2,1.8,,Semi-Furnished,68.07
1247.0,3,3.0,9,2,8.7,Coastal,Fully-Furnished,78.79
701.0,1,2.0,6,2,11.8,Outskirts,Unfurnished,31.85
737.0,1,2.0,9,2,11.0,,Semi-Furnished,49.29
822.0,1,1.0,15,0,2.1,City Center,Semi-Furnished,58.52
1220.0,3,2.0,19,0,3.4,Coastal,Unfurnished,72.87
1585.0,3,3.0,9,1,10.0,Outskirts,Fully-Furnished,66.15
450.0,1,1.0,3,0,26.2,Rural,Semi-Furnished,13.84
1776.0,3,2.0,9,3,8.3,Coastal,Semi-Furnished,110.33
809.0,1,2.0,27,2,12.2,Outskirts,Unfurnished,24.59
867.0,1,1.0,9,2,14.6,Outskirts,Semi-Furnished,41.11
1739.0,3,4.0,26,2,13.9,IT Corridor,Semi-Furnished,91.38
1363.0,3,4.0,6,0,14.3,Suburb,,60.96
632.0,1,1.0,5,3,0.5,City Center,Unfurnished,56.59
2322.0,4,3.0,1,2,16.7,Outskirts,Fully-Furnished,102.55
970.0,2,2.0,16,3,14.1,Coastal,Unfurnished,71.1
1524.0,4,3.0,23,1,15.1,Outskirts,Unfurnished,48.19
1500.0,2,1.0,15,2,7.2,City Center,Unfurnished,104.94
2106.0,4,5.0,0,3,17.3,Rural,Semi-Furnished,76.02
1172.0,2,3.0,28,1,13.2,Suburb,Unfurnished,39.67
1904.0,3,2.0,17,1,24.9,Rural,Unfurnished,39.55
1029.0,2,3.0,24,2,3.4,Suburb,Semi-Furnished,50.46
1961.0,4,3.0,11,0,11.2,Suburb,Fully-Furnished,90.33
1019.0,3,4.0,5,2,15.0,IT Corridor,Semi-Furnished,83.46
1219.0,1,2.0,20,0,12.5,Suburb,Fully-Furnished,56.34
2348.0,5,4.0,30,2,28.4,Rural,,49.28
1558.0,3,2.0,17,0,7.8,Coastal,Unfurnished,83.77
,3,3.0,13,0,0.7,City Center,Unfurnished,113.12
2521.0,5,6.0,14,3,6.6,Coastal,Unfurnished,171.33
,3,3.0,5,0,14.8,Outskirts,Unfurnished,57.49
992.0,3,2.0,24,1,10.1,Suburb,Semi-Furnished,44.25
1767.0,3,4.0,18,2,13.5,Outskirts,Unfurnished,56.45
809.0,2,2.0,17,1,15.1,Outskirts,Semi-Furnished,33.04
1964.0,4,4.0,0,2,27.5,Rural,Semi-Furnished,63.85
2003.0,4,3.0,27,3,9.9,,Fully-Furnished,93.57
1114.0,2,3.0,15,0,21.7,Outskirts,Unfurnished,38.47
1086.0,3,3.0,18,0,21.3,Outskirts,,41.85
1488.0,3,3.0,21,1,0.5,City Center,Unfurnished,95.39
1407.0,3,4.0,27,2,7.2,Suburb,Fully-Furnished,63.71
911.0,2,2.0,29,2,11.1,,Unfurnished,34.44
1684.0,3,4.0,26,3,8.5,IT Corridor,Unfurnished,88.0
450.0,1,1.0,16,0,16.5,Outskirts,Semi-Furnished,17.16
1184.0,2,1.0,21,3,6.0,Suburb,Unfurnished,56.53
1198.0,3,4.0,21,0,11.8,Outskirts,Unfurnished,43.59
1263.0,2,3.0,10,0,8.1,Suburb,Unfurnished,62.75
1554.0,2,2.0,30,1,14.3,IT Corridor,Unfurnished,64.91
786.0,2,1.0,15,1,7.9,Suburb,Semi-Furnished,38.98
1694.0,4,3.0,27,3,7.9,Suburb,Semi-Furnished,77.01
1310.0,2,1.0,2,1,5.6,City Center,Semi-Furnished,123.1
1075.0,3,3.0,7,1,4.3,City Center,Semi-Furnished,91.5
717.0,1,1.0,22,2,16.3,Outskirts,Unfurnished,24.61
,2,2.0,22,2,17.7,Outskirts,Semi-Furnished,34.51
1580.0,4,4.0,20,0,11.9,Outskirts,Semi-Furnished,51.43
918.0,2,1.0,8,0,8.5,Coastal,Fully-Furnished,66.56
1432.0,3,4.0,25,0,6.0,Coastal,Unfurnished,75.42
1931.0,5,6.0,3,1,17.9,Outskirts,Unfurnished,86.32
1916.0,3,4.0,2,1,10.3,Coastal,Unfurnished,135.88
2180.0,4,4.0,26,2,11.8,Outskirts,Unfurnished,74.37
1252.0,3,4.0,3,0,12.9,Suburb,Semi-Furnished,80.55
857.0,1,2.0,28,0,5.5,Suburb,Semi-Furnished,33.93
1910.0,4,4.0,20,2,11.4,Coastal,Semi-Furnished,106.95
1555.0,3,3.0,5,2,25.5,Rural,Semi-Furnished,48.74
1962.0,5,4.0,22,1,6.3,Suburb,Unfurnished,83.88
1406.0,2,3.0,15,1,8.6,IT Corridor,Unfurnished,77.83
1998.0,4,3.0,2,1,24.0,Rural,Unfurnished,51.61
1823.0,4,5.0,11,0,14.8,Outskirts,Unfurnished,69.67
1758.0,4,4.0,0,1,6.8,Suburb,Semi-Furnished,101.3
1652.0,3,2.0,2,1,4.6,City Center,Semi-Furnished,117.94
1599.0,3,4.0,10,1,0.5,City Center,Unfurnished,122.12
1517.0,3,4.0,6,2,2.9,City Center,Semi-Furnished,131.33
1513.0,3,3.0,10,1,2.9,City Center,Unfurnished,125.81
1895.0,4,3.0,11,2,6.4,IT Corridor,Semi-Furnished,111.08
