study_hours,attendance,previous_score,sleep_hours,assignments_completed,parental_support,extra_classes,final_marks
6.8,74.6,50.1,6.9,6,Medium,Yes,55.7
4.3,75.7,62.4,7.0,10,Medium,No,43.6
2.8,64.6,70.6,6.5,6,Medium,Yes,38.2
2.9,85.0,71.3,8.4,3,,No,56.8
5.8,84.3,85.3,5.8,3,Medium,No,53.8
6.0,60.1,81.2,6.2,7,High,No,60.2
5.6,,47.0,6.8,4,Low,Yes,48.2
3.2,100.0,87.3,7.8,9,Medium,Yes,64.6
5.0,80.1,54.0,5.2,9,High,No,44.2
4.7,74.0,77.7,5.4,0,High,Yes,49.7
4.9,76.3,63.0,4.6,7,Medium,Yes,42.1
6.2,85.4,55.8,6.8,4,,No,61.8
4.9,57.2,34.9,5.6,5,Medium,No,27.2
5.9,80.0,59.4,6.4,2,Medium,Yes,45.1
4.6,73.3,38.6,7.5,4,High,Yes,39.2
5.1,100.0,76.5,6.1,3,High,No,51.1
5.8,75.9,84.8,7.1,0,Medium,Yes,62.0
1.6,98.0,50.0,6.5,8,Low,No,47.7
3.9,64.8,66.5,7.5,1,Medium,Yes,41.2
3.6,85.0,51.1,7.3,4,Low,Yes,34.6
3.2,81.8,52.6,6.0,2,Low,Yes,25.7
3.9,67.6,73.6,6.6,1,Medium,No,41.9
7.5,80.1,61.4,7.9,4,Medium,No,55.7
2.8,92.6,88.1,7.2,10,Low,No,51.5
6.4,74.1,54.8,5.3,10,Low,No,50.7
1.1,57.7,77.0,7.5,4,Low,Yes,37.9
3.8,77.8,63.5,5.6,5,,No,48.2
4.8,67.2,73.9,8.4,10,Medium,No,54.3
5.7,,55.3,7.9,2,Low,No,38.6
5.9,77.0,61.3,7.1,10,Low,No,55.9
6.1,57.5,60.3,7.0,1,Medium,No,44.5
3.8,58.6,49.5,6.6,2,Medium,Yes,40.3
3.6,83.8,71.9,7.5,3,Medium,Yes,52.9
6.2,71.7,71.8,6.4,0,Medium,No,43.0
4.1,47.2,70.9,7.1,8,High,Yes,44.6
1.9,87.4,85.1,7.8,9,Medium,Yes,51.1
2.2,81.3,83.7,6.2,4,Medium,No,40.7
2.7,69.4,56.4,6.1,9,Low,Yes,43.0
5.5,62.2,67.6,5.5,8,High,No,54.8
4.8,88.0,52.6,5.6,8,High,No,55.9
5.9,82.2,62.4,4.8,8,Medium,No,54.4
3.6,100.0,53.0,7.6,6,Medium,No,47.9
,240.0,86.3,8.8,1,Low,Yes,58.8
5.8,82.7,67.5,8.4,10,High,Yes,66.8
3.9,76.0,58.7,5.0,6,Medium,Yes,44.7
5.4,87.8,79.9,7.6,9,Low,No,65.5
3.2,85.5,29.4,8.4,10,Medium,No,40.2
3.8,93.0,31.8,6.3,2,Medium,Yes,35.1
3.7,71.7,73.9,6.9,4,High,No,45.5
2.1,72.8,62.9,4.6,2,Medium,No,36.4
5.5,72.3,65.8,7.1,0,Medium,No,51.8
3.6,87.5,42.1,5.6,10,Medium,No,42.2
4.5,96.0,61.7,7.0,10,Medium,No,60.7
5.5,72.5,92.1,,10,Medium,No,52.4
5.4,72.9,74.4,7.4,9,Low,No,53.9
5.8,81.8,64.5,7.9,7,High,No,58.5
4.3,75.1,55.4,5.9,5,Medium,No,39.3
3.7,89.4,56.1,5.5,10,Medium,No,58.2
4.3,51.0,30.1,4.4,6,Low,No,26.0
1.1,68.1,65.9,6.5,7,Low,Yes,34.1
1.6,68.6,74.7,6.2,2,Medium,No,36.7
1.9,50.2,38.4,5.1,8,Low,Yes,16.7
2.5,66.4,52.1,7.3,9,Low,Yes,35.1
5.3,67.0,44.6,6.3,7,High,No,50.6
2.7,75.6,47.5,5.6,5,Medium,Yes,33.8
3.7,91.4,62.8,6.2,2,Medium,Yes,41.9
7.1,75.1,30.7,8.0,0,Medium,No,47.6
3.8,65.6,71.2,7.5,6,High,No,56.2
6.0,77.3,73.3,6.7,7,Medium,No,59.2
2.6,90.6,58.2,7.5,8,High,Yes,48.4
4.1,66.3,24.8,5.5,10,High,Yes,38.5
2.6,67.1,47.1,6.8,5,Medium,Yes,32.5
3.8,84.7,80.5,7.0,9,Medium,Yes,53.2
6.2,75.3,20.3,6.3,7,Medium,No,35.1
1.0,85.8,56.8,7.3,3,Medium,Yes,33.5
5.4,77.8,44.3,5.9,9,Medium,No,42.0
5.0,86.4,74.1,7.4,0,Medium,Yes,45.1
3.3,65.6,51.9,7.4,6,Medium,No,40.2
1.6,77.9,68.1,3.6,10,Low,No,38.3
4.6,75.5,70.5,8.1,7,Medium,Yes,62.4
3.4,63.4,89.5,3.5,10,Low,Yes,46.1
5.0,59.2,59.0,6.1,0,Medium,Yes,42.2
4.5,86.2,67.6,7.9,5,Medium,No,52.9
7.7,73.8,39.7,6.5,8,High,No,53.5
4.0,65.7,79.9,5.2,7,Low,Yes,51.1
2.5,76.8,50.6,5.6,9,Medium,No,42.3
4.9,91.5,53.6,7.9,5,Medium,No,50.8
4.9,50.6,61.7,4.7,7,Low,No,38.3
7.2,60.0,38.6,8.0,4,Low,No,40.8
6.2,66.9,65.4,6.7,9,,No,45.8
5.2,95.5,76.5,5.5,1,Low,No,45.2
7.4,81.4,66.4,6.2,2,Medium,Yes,54.0
2.1,87.2,38.2,5.7,1,Medium,Yes,25.3
3.2,64.3,60.1,7.8,7,Medium,Yes,46.7
2.6,64.6,73.1,7.6,2,Low,No,42.6
3.7,83.4,33.8,,3,Low,No,25.2
1.7,78.7,45.9,6.4,9,,Yes,36.3
5.8,84.6,75.1,5.9,3,Medium,Yes,50.9
4.1,75.7,66.1,8.2,1,Medium,No,43.0
1.6,81.3,68.2,5.3,0,Medium,Yes,32.8
2.5,79.9,89.9,8.6,2,Low,Yes,50.3
5.1,87.3,69.0,6.8,10,Low,Yes,53.2
6.2,87.7,71.9,,6,High,Yes,66.2
8.5,58.6,100.0,6.1,10,Low,No,68.0
10.3,51.0,58.8,5.9,2,Low,No,49.9
5.3,130.0,50.0,5.4,3,Low,No,35.7
2.5,92.3,68.4,6.9,1,High,No,45.8
0.2,65.8,68.6,5.4,4,Medium,Yes,36.5
5.0,55.7,54.1,4.4,6,Medium,Yes,43.2
2.9,79.2,46.5,6.4,8,High,No,52.4
3.7,89.2,96.6,4.8,4,Low,Yes,59.6
3.3,99.6,66.9,6.0,8,High,Yes,53.9
4.2,84.2,51.0,5.8,6,Low,Yes,40.8
6.6,73.5,75.7,5.8,3,Medium,No,56.3
4.8,67.3,60.4,9.0,10,Medium,Yes,49.6
4.2,78.1,58.2,6.9,4,Medium,No,49.3
2.4,74.4,70.4,7.1,1,High,No,43.6
1.2,65.8,42.6,4.8,10,Low,No,28.2
3.5,100.0,67.3,6.1,10,High,Yes,61.1
4.4,99.4,90.7,7.0,0,Medium,Yes,65.1
8.0,91.6,69.0,5.7,9,Medium,No,65.9
4.8,66.9,56.4,7.8,10,High,No,52.3
6.5,88.3,54.4,,9,Low,Yes,60.6
3.5,85.7,55.8,6.5,2,High,Yes,49.4
2.1,83.3,58.2,6.2,6,Medium,No,37.7
2.6,93.0,56.3,7.0,5,Medium,Yes,44.0
3.0,85.6,75.7,6.1,6,Low,Yes,47.8
8.8,86.9,36.0,6.5,6,Medium,Yes,58.2
2.9,85.6,74.9,6.5,7,,Yes,44.7
6.2,82.1,56.3,6.0,5,Medium,Yes,45.4
2.7,56.6,67.7,7.3,7,Low,Yes,36.6
6.4,79.0,45.1,7.1,5,Low,Yes,42.8
5.3,71.3,81.9,6.7,0,High,No,50.1
4.2,62.6,80.7,6.3,0,Low,No,43.9
4.4,98.2,76.4,7.7,10,Medium,Yes,61.7
3.2,98.7,39.3,6.5,10,High,No,47.3
5.4,94.3,74.4,6.5,6,Low,Yes,50.8
3.6,81.1,68.1,6.9,1,Low,No,38.0
2.0,94.2,37.9,8.7,8,Medium,No,40.9
1.9,78.1,61.6,5.3,1,Low,No,32.8
4.8,80.4,67.5,7.6,4,Medium,No,46.9
7.7,64.9,70.3,4.7,3,Medium,No,53.9
4.8,82.8,64.7,7.0,0,Medium,No,55.3
4.3,78.7,66.4,8.5,8,Medium,Yes,53.9
5.1,62.4,84.1,7.3,5,Medium,No,50.6
7.1,77.4,80.4,7.0,3,Medium,No,58.7
4.9,77.0,19.0,6.2,5,Low,No,31.0
3.7,99.6,57.2,6.8,0,Medium,No,41.6
6.7,88.7,59.5,6.5,4,High,No,56.7
5.4,78.1,35.7,5.9,5,Medium,Yes,35.8
7.6,81.0,63.4,6.5,3,Medium,Yes,53.4
4.9,78.5,80.7,7.0,9,Medium,No,57.5
2.1,75.6,45.7,6.0,2,Low,No,26.2
1.8,65.0,67.0,5.9,1,Low,No,27.3
7.8,76.2,48.3,5.3,5,Low,No,47.2
7.9,69.0,51.9,7.2,9,High,Yes,62.3
4.1,63.0,84.2,7.4,4,Low,No,50.9
3.7,84.1,53.9,7.1,0,High,Yes,43.3
7.4,82.7,68.9,7.9,10,Low,No,63.9
2.3,56.6,33.9,6.9,4,Medium,No,23.8
2.7,76.5,89.9,7.2,1,Medium,No,49.3
5.8,89.9,71.0,,6,Medium,No,59.1
3.7,90.7,59.3,6.7,3,High,Yes,52.8
4.5,90.3,70.6,6.2,10,High,No,61.9
4.2,78.5,40.9,9.2,3,High,Yes,46.6
5.2,67.9,79.7,6.3,6,Low,Yes,51.9
7.3,65.0,57.1,6.1,5,High,No,55.3
4.7,82.1,58.9,7.3,2,Low,No,47.0
5.8,82.6,54.6,7.1,5,High,No,50.0
0.4,93.4,53.3,5.3,1,Medium,No,25.6
4.4,91.2,72.4,8.0,7,Medium,Yes,58.4
2.8,76.4,65.8,6.7,8,Low,No,43.9
2.1,63.1,71.8,5.6,10,Low,Yes,38.1
,74.2,61.9,8.1,3,Low,Yes,38.8
3.8,80.6,69.7,7.5,3,High,No,49.2
,75.6,55.7,5.4,6,High,Yes,44.5
1.8,71.1,95.4,8.8,7,High,No,53.0
4.6,81.0,38.5,7.5,10,Low,Yes,43.9
3.5,72.0,80.9,6.8,0,Medium,No,43.5
3.8,70.5,82.5,8.5,2,Medium,Yes,57.0
6.5,81.7,49.2,7.0,2,Medium,Yes,44.0
5.6,73.2,95.4,6.8,2,Medium,Yes,55.9
7.2,80.9,76.9,6.1,5,Medium,No,48.3
4.2,81.3,76.6,7.4,9,Medium,Yes,55.4
3.1,64.3,62.4,7.3,0,Low,No,31.4
4.1,72.2,58.7,6.8,8,Medium,Yes,46.0
5.0,95.3,58.9,5.9,6,Medium,No,55.5
4.9,64.1,67.9,6.9,6,,No,49.5
2.3,52.6,83.0,6.7,7,High,No,47.1
4.7,55.7,64.7,5.3,1,Medium,No,37.4
5.0,78.3,48.3,5.2,8,High,No,52.6
9.5,78.4,74.4,7.4,2,Medium,Yes,66.9
,76.6,75.8,3.9,5,Medium,No,56.1
2.8,92.6,71.8,7.0,7,Medium,Yes,43.6
3.9,45.9,73.2,6.3,6,High,No,44.1
1.6,82.8,57.9,8.2,3,Medium,Yes,42.2
3.3,96.7,48.1,6.3,4,Medium,Yes,52.8
5.1,64.5,49.0,7.5,5,Low,No,40.4
6.9,73.4,37.5,6.4,0,Medium,Yes,39.5
3.0,69.0,65.6,6.9,7,Low,Yes,37.3
3.2,67.3,60.7,7.6,1,Low,Yes,39.3
0.2,74.1,55.4,6.3,5,,No,18.8
4.2,95.1,17.7,7.9,7,Medium,No,40.5
2.4,100.0,43.3,5.7,0,Low,Yes,35.1
3.4,74.0,78.8,7.1,10,Medium,No,54.9
2.7,100.0,52.0,7.8,4,High,Yes,46.3
4.3,78.4,67.4,7.5,0,High,No,50.0
1.0,99.0,41.1,8.9,7,Medium,Yes,38.8
1.6,76.9,83.6,6.0,6,Medium,No,40.8
8.8,79.6,59.8,5.3,7,Medium,No,68.6
1.9,82.4,66.4,5.7,8,,Yes,42.6
2.3,100.0,96.9,7.5,5,Medium,Yes,61.4
8.2,88.2,84.7,7.3,9,Low,Yes,60.2
10.3,69.5,57.4,,4,High,Yes,72.5
2.2,89.6,53.1,5.6,5,Low,No,41.0
3.8,73.7,57.1,7.6,1,High,No,42.9
,72.1,69.6,5.5,6,Medium,No,52.4
8.0,88.9,60.4,8.1,2,Low,No,57.8
2.5,78.4,56.1,9.9,7,Medium,No,39.1
4.0,81.3,84.0,7.2,8,Low,Yes,57.6
6.1,78.2,60.3,7.4,9,High,No,55.2
5.4,82.0,96.5,6.3,10,Medium,No,62.7
3.7,83.1,63.4,4.8,1,Low,No,41.8
4.2,54.8,88.8,6.1,1,,No,47.3
1.8,,67.4,5.6,10,High,No,44.3
4.0,66.2,76.4,5.2,4,,Yes,43.7
4.0,60.7,51.1,8.7,0,High,No,35.8
5.0,77.3,49.2,7.1,3,High,Yes,51.2
3.4,79.0,68.9,7.2,9,Medium,Yes,47.4
5.4,69.7,76.8,6.5,3,Medium,Yes,54.5
6.5,88.0,62.6,6.6,0,Medium,Yes,56.0
4.8,61.9,42.7,7.9,7,High,No,44.5
5.2,73.1,41.6,6.8,2,Low,No,40.6
4.6,71.0,40.6,7.4,3,Medium,No,36.7
4.5,77.4,35.5,,0,Low,Yes,31.6
3.1,81.3,63.6,6.4,6,Medium,Yes,41.6
5.1,65.9,78.9,5.3,4,Medium,No,54.0
4.3,86.7,61.8,4.6,9,Medium,No,45.3
,78.8,28.1,6.5,3,Medium,Yes,51.1
7.6,55.3,59.1,6.9,2,Medium,Yes,50.9
5.3,54.5,59.6,5.4,1,Low,No,31.5
3.0,77.9,93.4,6.8,2,,Yes,48.7
2.3,75.3,40.1,,4,High,Yes,42.8
6.9,76.8,56.1,4.4,0,Medium,Yes,48.0
5.0,77.7,87.6,5.8,4,Medium,No,50.0
5.5,80.7,68.7,7.2,9,High,No,61.2
1.0,89.4,70.4,7.2,8,Low,Yes,42.0
6.4,64.7,63.7,5.5,7,Medium,No,67.0
5.4,63.9,66.9,7.0,9,,No,51.0
2.3,64.9,73.7,7.9,8,High,No,46.6
3.6,81.5,49.9,7.7,7,Medium,No,50.1
5.0,,75.2,6.7,9,Medium,Yes,52.6
4.6,72.8,41.4,6.3,1,Low,No,33.0
3.9,48.0,66.9,6.1,9,Low,Yes,51.9
4.3,57.6,64.7,7.3,3,Medium,No,41.8
4.0,68.0,52.8,,8,Medium,No,35.7
4.8,71.3,61.7,7.5,10,High,No,53.2
7.4,73.1,52.7,6.9,5,High,Yes,64.0
0.0,78.5,45.9,7.7,0,Medium,No,25.8
,74.3,56.7,6.9,4,Medium,No,38.4
4.9,90.6,45.4,7.7,4,High,Yes,47.3
5.1,69.9,66.8,7.8,10,Medium,No,52.1
3.8,67.7,44.7,5.9,10,Medium,No,42.4
1.0,83.7,72.7,4.8,6,High,No,47.7
5.2,59.6,44.3,8.5,10,Low,Yes,49.9
60.0,82.7,53.5,7.1,4,High,No,60.8
1.4,79.2,52.6,4.9,4,Low,No,22.1
6.2,76.2,81.9,6.0,9,Medium,No,55.1
3.8,97.1,67.0,7.6,7,High,No,57.9
4.4,70.5,58.8,6.5,5,Medium,No,37.8
2.4,100.0,69.5,6.2,5,Medium,No,44.8
3.8,75.3,30.4,8.3,7,Medium,No,38.7
7.1,62.7,61.4,5.6,8,Low,No,45.5
5.7,78.8,92.0,,5,Low,Yes,53.8
8.0,65.1,64.0,7.0,0,Medium,No,51.8
6.9,69.0,63.0,7.2,1,Medium,No,52.5
5.4,82.8,70.2,7.3,1,Medium,Yes,57.1
8.0,84.7,75.4,7.8,5,Low,Yes,66.6
5.4,70.5,32.0,7.0,6,High,Yes,45.3
6.2,89.8,36.8,7.3,8,Medium,No,46.4
3.9,91.9,65.2,6.5,2,Medium,No,40.7
4.6,,51.3,6.9,8,Medium,No,47.5
3.1,,81.7,6.9,7,Low,No,50.7
6.5,94.4,57.3,7.0,0,Medium,No,52.0
2.1,55.4,33.0,7.6,3,Medium,No,15.6
6.1,74.2,43.0,7.4,3,Low,No,37.7
4.1,67.6,20.8,6.8,9,High,Yes,44.6
6.8,79.4,58.5,5.9,10,High,No,60.2
6.0,71.1,59.2,6.9,9,Medium,No,46.9
8.1,76.0,55.6,6.8,5,High,Yes,71.7
6.0,100.0,78.2,7.0,5,High,Yes,66.0
1.4,76.0,80.0,9.2,3,Medium,No,43.8
4.4,83.0,59.4,6.2,8,Medium,No,50.5
2.2,75.2,30.0,7.3,0,Medium,No,23.3
3.5,78.9,71.3,8.0,2,Medium,No,42.3
7.5,78.1,70.3,6.9,1,Low,Yes,64.3
5.8,83.4,66.6,9.4,5,Low,No,56.5
3.1,92.0,76.7,6.4,3,Medium,No,51.1
2.5,97.8,44.5,7.2,2,High,No,41.9
4.6,,92.1,5.9,4,High,No,54.1
2.1,85.1,47.6,6.4,9,Medium,No,44.8
3.2,64.2,73.2,7.1,6,Low,No,38.3
5.1,76.9,36.7,7.7,9,Medium,Yes,48.5
6.8,89.3,48.0,7.2,10,Medium,Yes,51.5
5.7,88.4,84.7,8.2,9,High,No,58.8
0.0,80.5,58.1,6.7,3,High,No,34.3
5.1,88.6,74.6,6.4,9,High,Yes,59.3
4.6,83.9,65.6,9.8,10,High,No,49.5
5.3,92.4,60.4,7.2,10,High,No,62.0
7.7,81.5,82.5,6.0,3,Medium,Yes,73.2
0.4,73.7,58.5,6.0,2,Low,No,31.5
3.3,82.0,35.3,5.8,6,Low,No,30.8
5.7,42.8,50.0,7.8,10,Medium,No,46.3
1.3,82.6,70.3,6.4,9,Medium,No,47.3
7.5,35.0,67.9,6.9,6,Low,No,53.8
5.2,57.3,38.5,6.7,1,High,Yes,37.7
6.2,83.4,51.1,7.6,4,Low,No,47.1
3.4,83.7,53.3,5.9,7,High,No,46.7
6.1,64.1,56.5,5.6,6,High,Yes,54.8
6.6,69.5,41.4,7.0,3,Medium,No,43.4
5.0,94.4,52.6,,3,Medium,No,47.0
5.0,72.2,51.1,7.2,0,Medium,No,46.2
5.0,100.0,73.6,5.9,3,Medium,Yes,60.8
2.8,78.0,74.1,7.5,7,Low,No,47.2
4.2,82.9,59.8,6.0,2,High,Yes,55.2
4.2,97.4,56.1,6.2,10,Medium,Yes,51.6
5.3,79.6,64.1,5.8,0,Medium,Yes,54.1
6.5,66.0,49.8,8.2,6,Medium,Yes,54.1
2.4,76.7,44.8,,5,Medium,Yes,52.0
4.2,77.6,47.9,7.5,9,Medium,Yes,42.5
7.5,61.6,52.5,8.2,9,Medium,Yes,54.5
3.0,74.9,44.5,9.9,5,Low,Yes,38.3
2.9,69.1,64.4,4.9,6,Medium,Yes,43.4
4.9,89.1,72.9,6.0,7,Medium,Yes,65.3
6.2,78.4,38.2,6.1,5,Medium,No,41.0
4.5,74.6,62.4,5.9,2,Low,Yes,45.7
7.2,76.7,58.7,5.6,4,Medium,No,57.2
6.2,80.7,67.1,6.5,2,,Yes,56.6
6.2,85.4,61.8,5.5,5,Medium,No,47.8
5.6,66.0,40.2,7.2,6,Low,Yes,48.0
9.2,,43.1,6.9,2,Low,Yes,55.6
4.1,91.3,62.4,7.3,2,Medium,Yes,50.8
0.5,73.1,77.4,7.4,9,Low,No,40.4
7.7,61.0,28.8,7.5,4,Medium,Yes,46.5
3.6,83.3,67.2,6.4,2,,Yes,48.1
4.7,83.6,79.8,9.1,7,Medium,Yes,62.4
7.1,59.6,59.7,7.1,7,High,Yes,58.5
1.3,80.8,70.3,4.8,9,Low,No,34.2
2.0,86.8,51.5,5.7,8,Low,No,30.8
1.3,82.5,60.2,4.9,10,Medium,No,35.8
2.9,85.6,37.7,6.8,6,High,Yes,42.3
5.4,61.1,26.8,6.7,3,,No,36.5
5.5,82.0,76.1,6.3,9,Low,Yes,58.3
5.1,74.4,47.2,9.0,2,High,Yes,49.5
1.7,72.2,55.2,7.4,3,Medium,No,30.9
0.0,88.4,41.2,7.6,9,Medium,No,38.9
4.6,95.8,40.9,5.8,9,Low,No,41.9
3.6,99.5,59.4,5.7,3,High,Yes,47.0
5.4,93.8,51.1,6.8,8,Low,No,51.0
5.9,76.7,67.7,,10,High,No,52.5
4.8,82.2,68.8,4.8,8,Medium,Yes,49.6
6.0,87.2,66.8,6.6,0,Medium,No,54.6
5.0,79.5,65.6,6.8,7,Medium,Yes,45.9
5.6,79.6,85.7,6.6,1,High,No,62.5
3.1,87.9,46.0,5.9,9,Low,No,45.4
4.1,77.3,61.2,6.2,0,Low,No,35.4
,69.2,79.0,6.6,10,Medium,No,57.6
6.1,73.0,81.0,6.9,1,Medium,No,58.8
3.7,85.6,40.7,7.5,4,Low,Yes,35.8
5.5,78.0,57.3,8.0,2,Low,No,48.3
4.0,82.1,82.4,6.5,8,Medium,No,51.9
4.3,86.0,69.6,6.3,4,Low,No,43.5
6.2,,64.9,7.3,8,Low,No,49.2
0.5,87.1,58.7,7.5,0,High,Yes,37.6
1.9,82.5,56.2,6.3,4,Medium,No,41.3
1.5,63.2,66.3,7.7,10,High,Yes,45.8
0.0,95.3,58.2,7.9,10,High,No,37.5
3.1,72.0,61.4,8.2,2,Low,No,32.1
6.0,58.1,63.2,8.8,4,Medium,No,50.9
3.9,65.5,51.8,5.8,4,Medium,No,45.7
4.9,65.7,70.0,6.8,6,Medium,Yes,53.2
6.7,78.6,100.0,6.8,5,Low,No,61.5
7.2,74.7,35.3,6.7,1,Low,No,43.2
4.4,74.0,66.9,6.1,8,Low,Yes,47.3
7.2,85.4,50.6,5.2,2,Medium,Yes,48.9
4.7,82.1,70.7,6.9,3,High,Yes,50.1
2.8,81.8,62.7,6.0,9,Medium,Yes,53.4
3.3,82.9,73.4,6.9,7,Medium,Yes,40.1
1.5,85.4,79.6,5.9,4,High,Yes,50.9
2.7,52.7,64.9,5.6,10,Medium,Yes,40.5
3.8,73.6,79.0,7.1,4,Low,No,44.0
,51.8,26.8,7.0,6,High,Yes,49.8
7.9,78.4,85.9,7.4,2,Medium,No,60.3
1.7,77.9,67.6,9.2,2,Low,Yes,34.4
5.3,,78.2,7.1,5,Medium,Yes,58.7
2.4,92.3,43.7,7.3,6,High,No,43.3
5.4,80.4,49.5,5.6,8,Medium,Yes,47.5
4.2,72.0,64.2,5.4,4,Medium,Yes,37.9
0.8,83.8,61.7,8.5,9,Low,No,34.2
6.4,71.7,66.2,5.8,6,Low,No,55.7
3.3,78.0,78.3,5.7,0,Low,Yes,41.8
3.4,89.8,35.5,6.8,8,Medium,Yes,43.8
2.4,71.3,76.6,6.7,6,High,No,46.3
3.2,87.7,62.1,5.8,4,Low,No,36.5
5.4,86.1,58.9,6.5,5,Medium,Yes,59.5
4.1,66.5,39.9,8.2,3,Low,No,32.3
5.2,89.7,69.5,5.9,6,Low,No,48.5
5.2,86.4,25.8,5.3,6,Medium,No,43.1
7.1,79.2,71.7,7.8,4,Medium,No,55.6
3.8,68.9,39.6,7.3,3,Medium,No,32.0
1.5,67.7,62.8,6.1,4,Medium,Yes,36.0
6.6,71.5,60.2,5.1,5,Medium,Yes,51.9
3.8,84.5,79.5,6.0,5,Low,Yes,50.7
6.7,66.5,59.3,6.7,3,Low,No,55.5
5.3,83.3,51.6,8.1,6,High,No,54.0
4.2,63.1,54.4,5.7,2,High,No,29.1
5.2,75.6,81.1,6.7,5,High,No,59.2
8.4,79.3,70.0,7.5,1,High,No,62.6
8.7,100.0,56.2,4.2,5,Medium,No,59.6
4.6,61.5,58.5,7.9,8,High,No,51.3
4.8,95.7,38.5,5.5,8,Medium,No,44.6
6.7,79.8,67.8,7.2,7,Low,Yes,57.2
2.8,82.9,35.6,7.1,8,Low,Yes,38.8
5.2,79.4,73.3,8.0,0,Low,Yes,46.5
4.4,83.3,63.9,7.4,3,Low,Yes,41.8
5.1,,97.8,4.2,7,Medium,No,72.3
2.8,95.4,45.5,5.9,8,Medium,No,37.8
1.3,72.5,60.5,7.0,6,,No,39.8
0.4,91.6,89.0,6.6,9,Medium,No,41.5
2.3,70.3,79.9,7.3,3,Low,No,40.6
,77.3,51.6,7.7,1,Medium,No,33.9
,65.1,65.4,7.5,0,Medium,No,38.1
8.4,83.5,62.0,6.6,6,Low,No,62.8
6.7,95.3,66.2,4.8,7,Medium,Yes,62.0
2.6,77.1,51.5,6.3,3,Medium,Yes,39.5
5.2,75.6,60.7,7.3,8,Medium,Yes,45.7
3.7,64.6,38.0,5.6,8,High,Yes,48.8
3.9,75.2,64.0,7.5,3,High,No,41.8
4.9,58.9,68.8,7.8,2,Medium,No,52.3
5.7,67.0,58.6,6.9,8,Low,Yes,54.1
3.8,80.7,37.8,3.5,7,High,No,40.9
6.6,93.8,76.8,5.4,1,Medium,No,52.1
2.2,100.0,67.5,8.9,2,Low,No,41.7
4.5,71.0,51.1,6.2,5,Medium,Yes,41.4
9.7,95.2,57.8,4.6,5,Medium,Yes,64.8
4.9,80.9,39.5,8.2,1,Medium,No,38.3
7.4,76.2,46.6,6.8,10,Low,Yes,45.3
4.7,83.2,53.9,8.0,4,Medium,No,51.5
5.7,78.7,80.4,7.1,4,Low,No,52.9
4.4,79.3,52.4,7.3,0,Low,No,34.7
4.2,73.1,71.6,7.2,9,Low,No,46.7
2.9,61.2,53.9,7.6,2,High,Yes,41.1
5.4,59.5,65.7,9.3,10,Medium,No,49.6
2.8,85.8,59.9,7.9,5,Medium,Yes,35.4
5.8,74.7,75.1,5.1,9,Medium,No,58.1
6.7,70.8,54.0,7.3,1,High,Yes,54.5
5.2,78.1,38.4,8.1,1,Medium,Yes,40.6
3.9,87.5,41.3,8.1,8,High,Yes,44.1
5.4,80.2,54.0,6.3,9,Medium,Yes,53.1
3.9,70.1,43.3,8.1,5,Low,Yes,31.5
6.4,92.7,68.2,7.8,0,Medium,No,49.7
0.8,97.0,55.0,9.6,10,Medium,Yes,40.8
3.8,,97.6,6.0,4,High,Yes,64.1
0.5,89.7,35.9,6.2,10,High,No,33.0
1.5,92.9,65.1,6.5,9,Medium,No,42.2
